als2k50 600 0.0 0.0 234.43 0.60 0.5
als1k50 650 0.0 0.0 237.16 0.11 0.5
b&w 25 0.0 0.0 207.96 0.6
r54490 400 16.9 0.3 200.18 0.09 0.6
r57084 450 7.6 0.2 212.48 0.38 0.6
r57152 450 15.9 0.1 203.69 0.15 0.6
r57212 450 20.6 0.4 199.95 0.06 0.6
als6k40 500 0.0 0.0 222.80 0.09 0.6
r57080 500 8.6 0.2 212.94 0.40 0.6
r54394 500 12.2 0.3 206.26 0.00 0.6
r57148 500 16.9 0.1 203.95 0.19 0.6
r54486 500 18.6 0.3 200.75 0.10 0.6
als5k40 550 0.0 0.0 225.12 0.07 0.6
r57076 550 9.6 0.2 213.61 0.36 0.6
r54390 550 13.2 0.3 206.67 0.08 0.6
r57144 550 17.8 0.1 204.17 0.17 0.6
r57204 550 22.9 0.4 200.36 0.05 0.6
als4k40 600 0.0 0.0 227.50 0.17 0.6
r54382 600 14.1 0.3 206.91 0.05 0.6
r54414 600 14.1 0.4 206.65 0.13 0.6
r54426 600 14.1 0.4 206.51 0.11 0.6
r53017 600 18.4 0.1 203.54 0.06 0.6
r54482 600 20.4 0.3 201.21 0.10 0.6
r54470 600 21.2 0.3 199.98 0.08 0.6
r53021 625 18.3 0.2 203.74 0.13 0.6
als3k40 650 0.0 0.0 229.94 0.24 0.6
r57068 650 11.5 0.2 215.04 0.07 0.6
r54366 650 15.9 0.2 206.67 0.06 0.6
r53025 650 18.2 0.2 204.53 0.10 0.6
r57136 650 19.6 0.1 205.26 0.26 0.6
r57196 650 25.2 0.4 200.74 0.04 0.6
r53029 675 18.1 0.2 204.90 0.13 0.6
r57064 700 12.5 0.2 215.58 0.21 0.6
r54370 700 16.0 0.2 207.86 0.08 0.6
r53053 700 16.3 0.1 207.86 0.24 0.6
r53041 700 18.0 0.2 206.54 0.28 0.6
r57132 700 20.6 0.1 205.37 0.27 0.6
r54474 700 22.1 0.3 201.80 0.08 0.6
r57240 700 26.0 0.5 200.88 0.11 0.6
r53049 750 17.2 0.2 207.85 0.11 0.6
b&w 25 0.0 0.0 200.90 0.7
als6k30 508 0.0 0.0 215.08 0.34 0.7
als5k30 550 0.0 0.0 217.11 0.17 0.7
als4k30 600 0.0 0.0 219.37 0.31 0.7
als3k30 650 0.0 0.0 221.71 0.31 0.7
b&w 25 0.0 0.0 193.78 0.8
r56329 350 11.8 0.1 191.40 0.18 0.8
r56361 350 12.4 0.1 191.25 0.07 0.8
r56417 350 21.0 0.1 184.78 0.03 0.8
r56325 400 12.6 0.3 191.86 0.08 0.8
r56413 400 21.9 0.2 185.01 0.03 0.8
r56321 450 13.4 0.3 192.24 0.10 0.8
r56409 450 22.8 0.2 185.29 0.04 0.8
als9k20 500 0.0 0.0 207.78 0.50 0.8
r56317 500 14.2 0.3 192.69 0.04 0.8
r53621 500 15.8 0.3 191.35 0.09 0.8
r56405 500 23.6 0.2 185.62 0.09 0.8
als8k20 550 0.0 0.0 210.08 0.23 0.8
r56313 550 15.0 0.3 193.05 0.10 0.8
r53693 550 17.6 0.2 190.27 0.05 0.8
r56401 550 24.5 0.2 185.89 0.08 0.8
r56429 550 25.1 0.2 185.10 0.33 0.8
r56437 550 25.1 0.2 185.11 0.42 0.8
r56453 550 25.2 0.0 185.51 0.10 0.8
als7k20 600 0.0 0.0 212.03 0.57 0.8
r56309 600 15.8 0.3 193.46 0.10 0.8
r56281 600 17.4 0.1 191.66 0.06 0.8
r53633 600 17.7 0.1 191.68 0.15 0.8
r56397 600 25.4 0.2 186.13 0.09 0.8
r53573 610 19.6 0.2 188.24 0.37 0.8
r53581 620 19.4 0.3 189.54 0.36 0.8
r56289 625 17.5 0.1 192.43 0.04 0.8
r53585 630 19.2 0.3 189.94 0.40 0.8
r53589 640 19.0 0.3 190.46 0.30 0.8
als6k20 650 0.0 0.0 214.39 0.41 0.8
r56293 650 17.5 0.1 193.00 0.12 0.8
r56357 650 18.2 0.2 192.94 0.04 0.8
r56373 650 18.2 0.2 192.74 0.16 0.8
r53593 650 18.8 0.3 190.86 0.30 0.8
r56393 650 26.3 0.2 186.40 0.06 0.8
r56381 650 26.8 0.2 186.09 0.07 0.8
r53601 675 19.0 0.3 192.03 0.15 0.8
r56297 700 17.5 0.1 194.08 0.09 0.8
r56385 700 27.2 0.1 186.49 0.05 0.8
r56441 700 28.2 0.2 186.01 0.08 0.8
b&w 25 0.0 0.0 186.59 0.9
als3k10 550 0.0 0.0 201.56 0.25 0.9
als2k10 600 0.0 0.0 203.71 0.12 0.9
als1k10 650 0.0 0.0 205.71 0.30 0.9
msl416031 25 0.0 0.0 179.42 0.16 1.0
msl416032 100 0.0 0.0 180.65 0.16 1.0
msl416033 200 0.0 0.0 183.73 0.18 1.0
msl416034 300 0.0 0.0 185.89 0.15 1.0
msl416035 400 0.0 0.0 188.33 0.14 1.0
msl416036 500 0.0 0.0 191.42 0.17 1.0
msl416037 600 0.0 0.0 194.26 0.25 1.0
